City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
945,Cidreira,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
949,Lebu,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
950,Victoria,HK,87.24,clear sky,22.2855,114.1577,Mini Hotel Central
954,Tidore,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
956,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
958,Maxixe,MZ,76.53,scattered clouds,-14.8031,36.5372,Hotel Vision
959,Xai-Xai,MZ,76.53,scattered clouds,-14.8031,36.5372,Hotel Vision
963,Mwingi,KE,75.7,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
964,Ilhabela,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
965,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
967,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
968,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
969,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
971,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
973,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
974,Lata,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
976,Gorontalo,ID,74.88,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
979,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
982,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
983,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
986,Touros,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
987,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
991,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
994,Arraial Do Cabo,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
997,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1004,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1006,Isangel,VU,78.33,broken clouds,-19.55,169.2667,Tanna Lodge
1008,Saint-Joseph,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1009,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1011,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1013,Grand Gaube,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1014,Kainantu,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
1017,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1018,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1019,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
1022,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1027,Atuona,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1029,Samarai,PG,79.18,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
1030,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1031,Mataura,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1032,Grand River South East,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1039,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1042,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1044,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1045,Faanui,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1047,Cap Malheureux,MU,72.36,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
1050,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1052,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1053,Castro,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1054,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1055,Nkhotakota,MW,75.56,few clouds,-12.9274,34.2961,Sitima Inn
1059,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
1061,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1062,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1064,Ilheus,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
1066,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1069,Maues,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
1071,Poum,NC,69.85,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
1072,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1073,Lata,SB,82.06,broken clouds,-10.4544,161.9205,SanBiz Lodge
1074,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
1075,Saint-Philippe,RE,69.35,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
1076,Punta Arenas,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1077,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1078,Avarua,CK,76.05,scattered clouds,-21.2078,-159.775,Paradise Inn
1082,Vaini,TO,74.34,overcast clouds,-21.2,-175.2,Keleti Beach Resort
1085,Port-Gentil,GA,75.36,overcast clouds,-3.432,10.6554,LIKWALE LODGE
1091,Rikitea,PF,73.42,overcast clouds,-23.1203,-134.9692,People ThankYou
1095,Pontal Do Parana,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
1097,Alofi,NU,77.31,light rain,-19.0595,-169.9187,Taloa Heights
1100,Antofagasta,US,87.1,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
1106,Florianopolis,BR,69.89,few clouds,-22.9661,-42.0278,Pousada Porto Praia
